group,Student1,Student2,Student3,Student4,Student5,Student6,Student7,Student8,Student9,Student10,Student11,Student12,Student13,Student14,Student15,Student16,Student17,Student18,Student19,Student20,Student21,Student22,Student23,Student24,Student25,Student26,Student27,Student28,Student29,Student30,Student31,Student32,Student33,Student34,Student35,Student36,Student37,Student38,Student39,Student40,Student41,Student42,Student43,Student44,Student45,Student46,Student47,Student48,Student49,Student50,Student51,Student52,Student53,Student54,Student55,Student56,Student57,Student58,Student59,Student60,Student61,Student62,Student63,Student64,Student65,Student66,Student67,Student68,Student69,Student70,Student71,Student72,Student73,Student74,Student75,Student76,Student77,Student78,Student79,Student80,Student81,Student82,Student83,Student84,Student85,Student86,Student87,Student88,Student89,Student90,Student91,Student92,Student93,Student94,Student95,Student96,Student97,Student98,Student99,Student100
Exam1,73,56,34,21,82,65,50,44,47,90,76,88,46,50,59,44,70,30,35,68,48,83,46,45,33,89,51,65,79,36,68,64,28,40,36,51,35,87,26,34,57,23,40,55,20,29,22,82,37,90,99,90,49,65,42,91,32,42,60,25,56,41,32,62,40,24,43,20,52,100,97,87,37,67,65,55,66,80,58,30,68,40,26,89,88,40,43,86,67,74,64,100,30,51,74,33,36,35,37,75
Exam2,90,80,27,46,78,31,64,68,25,99,74,70,65,21,86,42,33,25,38,79,60,68,90,56,53,59,55,98,67,60,41,32,28,61,42,87,54,100,20,22,42,54,71,42,58,77,23,51,32,86,71,51,86,72,23,74,99,75,41,63,69,43,23,44,62,34,46,49,32,63,100,39,27,23,76,35,60,35,33,28,36,70,61,25,44,79,44,46,60,98,72,31,98,91,61,97,61,59,57,84
Exam3,70,47,47,51,30,73,74,95,23,86,100,51,32,70,45,64,57,94,72,20,43,70,70,23,37,40,22,28,34,54,96,45,84,66,81,76,87,70,31,69,90,81,95,67,55,29,96,50,34,37,84,34,100,62,87,21,32,66,50,70,23,28,38,55,61,50,77,83,29,27,76,70,79,84,86,22,85,65,77,31,90,98,98,68,39,31,61,60,68,100,82,91,40,68,60,26,38,89,37,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
